#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 03 05 30 999 99.0 99.0  0.86 13.33  8.16 273 9999.0  10.8  11.2 999.0 99.0 99.00
2022 01 03 06 00 999 99.0 99.0  0.81 14.29  7.63 265 9999.0  10.8  11.2 999.0 99.0 99.00
2022 01 03 06 30 999 99.0 99.0  0.82 13.33  6.55 273 9999.0  10.8  11.2 999.0 99.0 99.00
2022 01 03 07 00 999 99.0 99.0  0.86 14.29  6.09 269 9999.0  10.8  11.3 999.0 99.0 99.00
2022 01 03 07 30 999 99.0 99.0  0.89 13.33  6.02 274 9999.0  10.8  11.3 999.0 99.0 99.00
2022 01 03 08 00 999 99.0 99.0  0.86 12.50  6.15 274 9999.0  10.6  11.3 999.0 99.0 99.00
2022 01 03 08 30 999 99.0 99.0  0.87 13.33  6.34 266 9999.0  10.7  11.3 999.0 99.0 99.00
2022 01 03 09 00 999 99.0 99.0  0.84 13.33  5.85 271 9999.0  10.8  11.3 999.0 99.0 99.00
2022 01 03 09 30 999 99.0 99.0  0.88 13.33  6.20 276 9999.0  10.9  11.3 999.0 99.0 99.00
2022 01 03 10 00 999 99.0 99.0  0.84 13.33  5.31 268 9999.0  10.8  11.4 999.0 99.0 99.00
2022 01 03 10 30 999 99.0 99.0  0.90 14.29  5.45 263 9999.0  10.7  11.4 999.0 99.0 99.00
2022 01 03 11 00 999 99.0 99.0  0.99 13.33  5.90 271 9999.0  10.7  11.4 999.0 99.0 99.00
2022 01 03 11 30 999 99.0 99.0  0.86 13.33  5.19 265 9999.0  10.7  11.4 999.0 99.0 99.00
2022 01 03 12 00 999 99.0 99.0  0.91 13.33  5.59 272 9999.0  10.7  11.4 999.0 99.0 99.00
2022 01 03 12 30 999 99.0 99.0  0.93 13.33  5.43 262 9999.0  10.8  11.5 999.0 99.0 99.00
2022 01 03 13 00 999 99.0 99.0  0.94 14.29  5.41 253 9999.0  10.8  11.6 999.0 99.0 99.00
2022 01 03 13 30 999 99.0 99.0  1.00 16.67  5.47 258 9999.0  10.9  11.5 999.0 99.0 99.00
2022 01 03 14 00 999 99.0 99.0  0.94 16.67  5.03 265 9999.0  10.9  11.2 999.0 99.0 99.00
2022 01 03 14 30 999 99.0 99.0  1.01 13.33  5.05 258 9999.0  10.9  11.3 999.0 99.0 99.00
2022 01 03 15 00 999 99.0 99.0  1.15 13.33  5.11 269 9999.0  10.9  11.3 999.0 99.0 99.00
2022 01 03 15 30 999 99.0 99.0  1.15 13.33  4.87 266 9999.0  10.7  11.3 999.0 99.0 99.00
2022 01 03 16 00 999 99.0 99.0  1.25 15.38  4.73 264 9999.0   9.7  11.3 999.0 99.0 99.00
2022 01 03 16 30 999 99.0 99.0  1.18 15.38  4.55 251 9999.0   9.9  11.3 999.0 99.0 99.00
2022 01 03 17 00 999 99.0 99.0  1.26 16.67  4.83 257 9999.0   9.6  11.2 999.0 99.0 99.00
2022 01 03 17 30 999 99.0 99.0  1.38 16.67  4.83 262 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 03 18 00 999 99.0 99.0  1.38 15.38  4.67 255 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 03 18 30 999 99.0 99.0  1.43  4.35  4.68 190 9999.0  10.7  11.3 999.0 99.0 99.00
2022 01 03 19 00 999 99.0 99.0  1.61 15.38  5.02 271 9999.0  10.7  11.3 999.0 99.0 99.00
2022 01 03 19 30 999 99.0 99.0  1.61  4.55  4.79 194 9999.0  10.9  11.3 999.0 99.0 99.00
2022 01 03 20 00 999 99.0 99.0  1.57  4.88  4.70 198 9999.0  10.7  11.3 999.0 99.0 99.00
2022 01 03 20 30 999 99.0 99.0  1.66 15.38  4.96 273 9999.0  10.4  11.3 999.0 99.0 99.00
2022 01 03 21 00 999 99.0 99.0  1.79  4.65  4.97 190 9999.0  10.2  11.4 999.0 99.0 99.00
2022 01 03 21 30 999 99.0 99.0  1.73  4.88  5.06 193 9999.0  10.2  11.4 999.0 99.0 99.00
2022 01 03 22 00 999 99.0 99.0  1.82 15.38  5.14 266 9999.0  10.4  11.7 999.0 99.0 99.00
2022 01 03 22 30 999 99.0 99.0  1.87  5.88  5.21 235 9999.0  10.4  11.7 999.0 99.0 99.00
2022 01 03 23 00 999 99.0 99.0  2.00  5.26  5.43 208 9999.0  10.5  11.6 999.0 99.0 99.00
2022 01 03 23 30 999 99.0 99.0  2.24  5.56  5.72 221 9999.0  10.5  11.4 999.0 99.0 99.00
2022 01 04 00 00 999 99.0 99.0  2.09 14.29  5.79 262 9999.0  10.8  11.5 999.0 99.0 99.00
