#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 03 02 30 999 99.0 99.0  3.53 16.67 12.24 276 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 03 00 999 99.0 99.0  3.77 18.18 13.03 274 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 03 30 999 99.0 99.0  3.93 18.18 12.83 269 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 04 00 999 99.0 99.0  3.52 15.38 12.26 274 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 04 30 999 99.0 99.0  4.13 16.67 12.65 277 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 05 00 999 99.0 99.0  4.47 16.67 13.10 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 05 30 999 99.0 99.0  3.59 16.67 12.02 268 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 06 00 999 99.0 99.0  3.96 16.67 12.51 276 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 03 06 30 999 99.0 99.0  3.76 16.67 12.44 277 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 03 07 00 999 99.0 99.0  3.89 16.67 12.77 276 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 03 07 30 999 99.0 99.0  3.60 16.67 12.39 270 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 03 08 00 999 99.0 99.0  3.99 16.67 12.26 271 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 03 08 30 999 99.0 99.0  3.90 16.67 12.73 269 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 03 09 00 999 99.0 99.0  3.97 16.67 12.51 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 09 30 999 99.0 99.0  3.83 16.67 12.22 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 10 00 999 99.0 99.0  3.68 16.67 12.52 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 10 30 999 99.0 99.0  3.76 16.67 12.53 268 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 11 00 999 99.0 99.0  3.36 14.29 12.16 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 11 30 999 99.0 99.0  3.85 16.67 12.65 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 12 00 999 99.0 99.0  3.45 15.38 12.28 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 12 30 999 99.0 99.0  3.29 16.67 12.04 265 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 13 00 999 99.0 99.0  3.11 15.38 11.90 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 13 30 999 99.0 99.0  3.49 16.67 12.38 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 14 00 999 99.0 99.0  3.59 15.38 12.38 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 14 30 999 99.0 99.0  3.22 15.38 12.15 271 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 03 15 00 999 99.0 99.0  3.30 15.38 11.83 272 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 03 15 30 999 99.0 99.0  3.06 15.38 11.75 273 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 03 16 00 999 99.0 99.0  3.49 15.38 12.24 271 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 03 16 30 999 99.0 99.0  2.99 15.38 11.90 274 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 03 17 00 999 99.0 99.0  3.07 14.29 11.92 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 17 30 999 99.0 99.0  3.30 15.38 12.04 274 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 18 00 999 99.0 99.0  3.58 15.38 12.41 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 18 30 999 99.0 99.0  3.19 15.38 11.96 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 19 00 999 99.0 99.0  3.21 15.38 11.93 268 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 19 30 999 99.0 99.0  3.08 15.38 12.06 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 20 00 999 99.0 99.0  2.70 15.38 11.72 277 9999.0 999.0  11.0 999.0 99.0 99.00
